country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,21.6,21.6,23.6,25.6,27.6,29.5,31.5,33.7,36,38.2,40.5,42.8,45.2,47.6,50,52.4,54.8,57.3
Angola,21.2,21.5,21.9,22.3,22.7,23,23.4,23.8,24.1,24.5,24.9,25.2,25.6,26,26.3,26.7,27.1,27.4
Albania,81.8,81.8,81.9,81.9,82,82,82.1,82.1,82.2,82.2,82.3,82.3,82.6,86.2,89.9,89.9,89.9,89.9
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,76.4,77.8,79.2,80.5,81.9,83.3,84.7,86.1,87.5,88.8,90.2,91.6,93,93,93,93,93,
Armenia,88.6,89.3,90.1,90.8,91.6,92.3,93.1,93.8,94.6,95.4,96.1,96.9,97.7,98.5,99.3,99.6,100,100
Australia,99.1,99.1,99.1,99.1,99.2,99.3,99.4,99.5,99.5,99.6,99.7,99.8,99.9,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,54.9,56.9,58.8,60.8,62.8,64.9,67,69.1,71.3,72.4,73.6,74.7,75.9,77,78.1,79.3,80.4,81.6
Burundi,47.8,48.3,48.8,49.4,49.9,50.4,50.9,51.4,51.9,52.4,52.9,53.5,54,54.5,55,55.6,56.1,56.6
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,52,52.5,52.9,53.3,53.7,54.1,54.5,54.9,55.3,55.7,56.1,56.4,56.8,57.2,57.5,57.9,58.2,58.2
Burkina Faso,50.8,50.8,49.9,48.9,48,47.1,46.1,45.1,44.2,43.2,42.2,41.2,40.2,39.2,38.1,37.1,36,35
Bangladesh,94.2,94.3,94.5,94.7,94.9,95.1,95.2,95.3,95.5,95.6,95.7,95.9,96,96.2,96.3,96.4,96.6,96.8
Bulgaria,99.5,99.5,99.5,99.4,99.3,99.2,99.1,99,98.9,98.8,98.7,98.6,98.5,98.4,98.3,98.2,98.1,98
Bosnia and Herzegovina,96.3,96.4,96.5,96.6,96.7,96.8,96.9,97,97.1,97.2,97.3,97.4,97.4,97.4,97.3,97.3,97.3,97.3
Belarus,98.9,98.9,98.9,98.9,98.9,98.8,98.8,98.7,98.6,98.6,98.5,98.4,98.4,98.3,98.2,98.2,98.3,98.3
Belize,84.3,85,85.8,86.5,87.3,88,88.7,89.5,90.2,91,91.8,92.5,93.3,94.1,94.9,95.7,96.4,97.2
Bolivia,54.2,55.7,57.1,58.5,60,61.4,62.9,64.4,65.8,67.3,68.6,70,71.3,72.7,74.1,75.4,76.8,78.1
Brazil,74.1,74.9,75.8,76.7,77.5,78.4,79.2,80.1,81,81.8,82.7,83.6,84.4,85.3,86.1,87,87.9,89.7
Bhutan,78.3,79.7,80.9,82.1,83.3,84.4,85.6,86.8,88,89.1,90.3,91.4,92.6,93.7,94.8,96.1,96.7,96.7
Botswana,53.6,53.7,53.8,53.9,54,54.1,55.8,57.6,59.4,61.1,62.9,64.7,66.5,68.3,70.1,71.9,73.7,75.5
Central African Republic,44,43.2,42.4,41.6,40.7,39.9,39,38.2,37.3,36.4,35.5,34.7,33.7,33.7,33.7,33.7,33.7,
Canada,98.2,98.2,98.2,98.2,98.2,98.2,98.3,98.3,98.4,98.4,98.5,98.6,98.6,98.7,98.7,98.8,98.8,98.9
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,74.6,76.1,77.7,79.3,80.9,82.4,84,85.6,87.1,88.7,90.3,91.9,93.4,95,96.6,98.2,98.3,100
China,70.4,70.4,71.4,72.4,73.4,74.4,75.4,76.4,77.3,78.3,79.3,80.3,81.3,82.3,83.2,84.2,85.2,86.2
Cote d'Ivoire,55.6,55.7,55.8,56,56.1,56.2,56.4,56.5,56.6,56.8,56.9,57,57.2,57.3,57.4,57.6,57.7,57.8
Cameroon,37.9,38.1,38.3,38.4,38.5,38.7,38.8,38.8,38.9,39,39,39.1,39.1,39.1,39.1,39,39,39
"Congo, Dem. Rep.",15.5,15.9,16.4,16.8,17.2,17.7,18.1,18.6,19,19.5,20,20.4,20.9,21.4,21.9,22.3,22.8,22.8
"Congo, Rep.",18,18,18.2,18.5,20.2,21.9,23.7,25.5,27.4,29.3,31.2,33.2,35.2,37.2,39.3,41.4,43.5,45.7
